Subject,File Path,Image Description
"DH1447_20230706","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1447_20230706/2023_07_06_dadmah_bb_dh_1447_20230706_091758_11d1_mri.mnc","		acquisition:series_description = "T2W_space_coro" ;"
"DH1447_20230706","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1447_20230706/2023_07_06_dadmah_bb_dh_1447_20230706_091758_8d1_mri.mnc","		acquisition:series_description = "acq-0.7mm_T1w_coro" ;"
"DH1457_20230303","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1457_20230303/2023_03_03_dadmah_bb_dh_1457_20230303_100946_10d1_mri.mnc","		acquisition:series_description = "acq-0.7mm_T1w_coro" ;"
"DH1457_20230303","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1457_20230303/2023_03_03_dadmah_bb_dh_1457_20230303_100946_11d1_mri.mnc","		acquisition:series_description = "T2W_space_coro" ;"
"DH1458_20230303","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1458_20230303/2023_03_03_dadmah_bb_dh_1458_20230303_112833_10d1_mri.mnc","		acquisition:series_description = "acq-0.7mm_T1w_coro" ;"
"DH1458_20230303","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1458_20230303/2023_03_03_dadmah_bb_dh_1458_20230303_112833_11d1_mri.mnc","		acquisition:series_description = "T2W_space_coro" ;"
"DH1469_20230301","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1469_20230301/2023_03_01_dadmah_bb_dh_1469_20230301_110719_10d1_mri.mnc","		acquisition:series_description = "acq-0.7mm_T1w_coro" ;"
"DH1469_20230301","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1469_20230301/2023_03_01_dadmah_bb_dh_1469_20230301_110719_11d1_mri.mnc","		acquisition:series_description = "T2W_space_coro" ;"
"DH1471_20230629","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1471_20230629/2023_06_29_dadmah_bb_dh_1471_20230629_091426_11d1_mri.mnc","		acquisition:series_description = "T2W_space_coro" ;"
"DH1471_20230629","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1471_20230629/2023_06_29_dadmah_bb_dh_1471_20230629_091426_8d1_mri.mnc","		acquisition:series_description = "acq-0.7mm_T1w_coro" ;"
"DH1473_20230303","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1473_20230303/2023_03_03_dadmah_bb_dh_1473_20230303_085957_10d1_mri.mnc","		acquisition:series_description = "acq-0.7mm_T1w_coro" ;"
"DH1473_20230303","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1473_20230303/2023_03_03_dadmah_bb_dh_1473_20230303_085957_11d1_mri.mnc","		acquisition:series_description = "T2W_space_coro" ;"
"DH1477_20230915","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1477_20230915/2023_09_15_dadmah_dh_1477_20230915_103819_10d1_mri.mnc","		acquisition:series_description = "T2W_space_coro" ;"
"DH1477_20230915","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1477_20230915/2023_09_15_dadmah_dh_1477_20230915_103819_9d1_mri.mnc","		acquisition:series_description = "acq-0.7mm_T1w_coro" ;"
"DH1492_20230216","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1492_20230216/2023_02_16_dadmah_bb_dh_1492_20230216_101127_10d1_mri.mnc","		acquisition:series_description = "acq-0.7mm_T1w_coro" ;"
"DH1492_20230216","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1492_20230216/2023_02_16_dadmah_bb_dh_1492_20230216_101127_11d1_mri.mnc","		acquisition:series_description = "T2W_space_coro" ;"
"DH1496_20230125","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1496_20230125/2023_01_25_dadmah_bb_dh_1496_20230125_141452_10d1_mri.mnc","		acquisition:series_description = "acq-0.7mm_T1w_coro" ;"
"DH1496_20230125","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1496_20230125/2023_01_25_dadmah_bb_dh_1496_20230125_141452_11d1_mri.mnc","		acquisition:series_description = "T2W_space_coro" ;"
"DH1499_20230125","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1499_20230125/2023_01_25_dadmah_bb_dh_1499_20230125_152242_15d1_mri.mnc","		acquisition:series_description = "acq-0.7mm_T1w_coro" ;"
"DH1499_20230125","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1499_20230125/2023_01_25_dadmah_bb_dh_1499_20230125_152242_16d1_mri.mnc","		acquisition:series_description = "T2W_space_coro" ;"
"DH1502_20230510","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1502_20230510/2023_05_10_dadmah_bb_dh_1502_20230510_105142_11d1_mri.mnc","		acquisition:series_description = "T2W_space_coro" ;"
"DH1502_20230510","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1502_20230510/2023_05_10_dadmah_bb_dh_1502_20230510_105142_32d1_mri.mnc","		acquisition:series_description = "T1W Neuromel_TR600_1.8mm_TE10_FA120_BW180_7av " ;"
"DH1502_20230510","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1502_20230510/2023_05_10_dadmah_bb_dh_1502_20230510_105142_8d1_mri.mnc","		acquisition:series_description = "acq-0.7mm_T1w_coro" ;"
"DH1520_20230213","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1520_20230213/2023_02_13_dadmah_bb_dh_1520_20230213_154259_10d1_mri.mnc","		acquisition:series_description = "acq-0.7mm_T1w_coro" ;"
"DH1520_20230213","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1520_20230213/2023_02_13_dadmah_bb_dh_1520_20230213_154259_11d1_mri.mnc","		acquisition:series_description = "T2W_space_coro" ;"
"DH1524_20230418","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1524_20230418/2023_04_18_dadmah_1524_20230418_093516_11d1_mri.mnc","		acquisition:series_description = "T2W_space_coro" ;"
"DH1524_20230418","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1524_20230418/2023_04_18_dadmah_1524_20230418_093516_36d1_mri.mnc","		acquisition:series_description = "T1W Neuromel_TR600_1.8mm_TE10_FA120_BW180_7av " ;"
"DH1524_20230418","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1524_20230418/2023_04_18_dadmah_1524_20230418_093516_8d1_mri.mnc","		acquisition:series_description = "acq-0.7mm_T1w_coro" ;"
